Date,Open,High,Low,Close,Volume,Change
01-07-2019,39543.73047,39764.82031,39541.08984,39686.5,10800,0.74086061
02-07-2019,39811.67969,39838.48828,39499.19141,39816.48047,14800,0.327518096
03-07-2019,39907.57031,39934.98828,39732.37891,39839.25,13800,0.057186197
04-07-2019,39917.64844,39979.10156,39858.32813,39908.05859,14500,0.172715586
05-07-2019,39990.39844,40032.41016,39441.37891,39513.39063,26000,-0.988943043
08-07-2019,39476.37891,39476.37891,38605.48047,38720.57031,22000,-2.006459834
09-07-2019,38754.46875,38814.23047,38435.87109,38730.82031,18800,0.026471718
10-07-2019,38701.98828,38854.85156,38474.66016,38557.03906,14900,-0.448689825
11-07-2019,38751.62109,38892.5,38631.30859,38823.10938,14600,0.690069358
12-07-2019,38941.10156,39021.83984,38684.85156,38736.23047,12900,-0.223781421
15-07-2019,39009.94922,39023.96875,38696.60156,38896.71094,18000,0.414290361
16-07-2019,38961.85938,39173.89063,38845.26953,39131.03906,25100,0.602436863
17-07-2019,39171.10156,39284.73047,39081.14063,39215.64063,23400,0.216200653
18-07-2019,39204.46875,39204.46875,38861.25,38897.46094,24100,-0.811359146
19-07-2019,39058.73047,39058.73047,38271.35156,38337.01172,19200,-1.440837539
22-07-2019,38333.51953,38333.51953,37890.32031,38031.12891,23000,-0.797878602
23-07-2019,38138.55859,38217.80859,37898.89844,37982.73828,19300,-0.127239518
24-07-2019,37990.23047,38102.83984,37708.41016,37847.64844,16600,-0.355661148
25-07-2019,37935.01953,38169.87109,37775.51172,37830.98047,18000,-0.044039642
26-07-2019,37831.17969,37978.07031,37690.46875,37882.78906,24100,0.136947532
29-07-2019,38043.21875,38043.21875,37519.16016,37686.37109,21100,-0.51848867
30-07-2019,37735.53906,37950.21094,37359.03125,37397.23828,22800,-0.767207891
31-07-2019,37257.55078,37576.37109,37128.26172,37481.12109,27200,0.224302159
01-08-2019,37387.17969,37387.17969,36694.17969,37018.32031,21000,-1.234757039
02-08-2019,36920.10938,37375.16016,36607.41016,37118.21875,28100,0.269862155
05-08-2019,36842.17188,36844.05078,36416.78906,36699.83984,25900,-1.127152434
06-08-2019,36568.03125,37241.76953,36536.58984,36976.85156,25400,0.754803618
07-08-2019,37025.26953,37104.78906,36610.57031,36690.5,25300,-0.774407639
08-08-2019,36808.01172,37405.48047,36655.41016,37327.35938,24100,1.73576096
09-08-2019,37521.30078,37807.55078,37406.26172,37581.91016,27400,0.681941571
13-08-2019,37755.16016,37755.16016,36888.48828,36958.16016,28600,-1.659708081
14-08-2019,37233.5,37473.60938,37000.76953,37311.53125,22500,0.956138218
16-08-2019,37383,37444.44922,36974.41016,37350.32813,26100,0.103980924
19-08-2019,37485.92188,37718.87891,37358.48828,37402.48828,17700,0.139651132
20-08-2019,37441.75,37511.55078,37219.89844,37328.01172,20900,-0.199121945
21-08-2019,37298.73047,37406.55078,37022.51953,37060.37109,28500,-0.716996734
22-08-2019,37087.57813,37087.57813,36391.35156,36472.92969,33100,-1.585093157
23-08-2019,36387.67969,36807.33984,36102.35156,36701.16016,38400,0.625753045
26-08-2019,37363.94922,37544.48047,36492.64844,37494.12109,35600,2.160588207
27-08-2019,37658.48047,37731.51172,37449.69141,37641.26953,36500,0.392457358
28-08-2019,37655.76953,37687.82031,37249.19141,37451.83984,28600,-0.503249995
29-08-2019,37381.80078,37381.80078,36987.35156,37068.92969,31700,-1.022406797
30-08-2019,37222.26172,37397.96875,36829.80859,37332.78906,33400,0.711807374
03-09-2019,37181.76172,37188.37891,36466.01172,36562.91016,23600,-2.062205708
04-09-2019,36575.23828,36776.30859,36409.53906,36724.73828,25600,0.442601873
05-09-2019,36821.71094,36898.98828,36541.87891,36644.42188,27400,-0.218698375
06-09-2019,36785.58984,37012.98047,36727.66016,36981.76953,23000,0.920597566
09-09-2019,36969.48047,37244.07813,36784.46875,37145.44922,25300,0.442595609
11-09-2019,37251.03125,37343.46094,37193.57031,37270.82031,36700,0.337514007
12-09-2019,37330.46875,37435.14844,37048.67188,37104.28125,27500,-0.446834981
13-09-2019,37175.85938,37413.5,37000.08984,37384.98828,34300,0.756535423
16-09-2019,37204.55859,37302.05859,37028.94141,37123.30859,19900,-0.699959259
17-09-2019,37169.46094,37169.55859,36419.08984,36481.08984,20500,-1.729960971
18-09-2019,36621.37891,36712.98828,36465.92188,36563.87891,25400,0.226936921
19-09-2019,36613.92969,36613.92969,35987.80078,36093.46875,31700,-1.286543359
20-09-2019,36214.92188,38378.01953,36085.73828,38014.62109,61000,5.322714637
23-09-2019,38844,39441.12109,38674.03906,39090.03125,2800,2.828938248
24-09-2019,39135.28125,39306.37109,38913.05859,39097.14063,30600,0.018187182
25-09-2019,39087.19922,39087.19922,38510.96875,38593.51953,28800,-1.288127689
26-09-2019,38700.48047,39158.07031,38676.10938,38989.73828,33200,1.026645807
27-09-2019,39003.12891,39107.37109,38782.60156,38822.57031,39200,-0.428748628
30-09-2019,38873.12109,38873.12109,38401.08984,38667.32813,49000,-0.39987612
