Date,Open,High,Low,Close,Volume,Change
06-05-2019,11605.79981,11632.54981,11571.34961,11598.25,299000,0
07-05-2019,11651.5,11657.04981,11484.4502,11497.90039,337500,-0.865213364
08-05-2019,11478.7002,11479.09961,11346.9502,11359.4502,372800,-1.204134592
09-05-2019,11322.40039,11357.59961,11255.04981,11301.79981,373000,-0.50751039
10-05-2019,11314.15039,11345.79981,11251.04981,11278.90039,387300,-0.20261741
13-05-2019,11258.7002,11300.2002,11125.59961,11148.2002,357600,-1.158802644
14-05-2019,11151.65039,11294.75,11108.29981,11222.04981,398100,0.662435269
15-05-2019,11271.7002,11286.79981,11136.9502,11157,414200,-0.579660634
16-05-2019,11180.34961,11281.54981,11143.34961,11257.09961,350700,0.897191082
17-05-2019,11261.90039,11426.15039,11259.84961,11407.15039,412100,1.33294354
20-05-2019,11651.90039,11845.2002,11591.7002,11828.25,452100,3.691540784
21-05-2019,11863.65039,11883.54981,11682.79981,11709.09961,381000,-1.007337442
22-05-2019,11727.9502,11784.79981,11682.40039,11737.90039,355900,0.245969229
23-05-2019,11901.29981,12041.15039,11614.5,11657.04981,569000,-0.688799388
24-05-2019,11748,11859,11658.09961,11844.09961,374600,1.604606715
27-05-2019,11855.5,11957.15039,11812.40039,11924.75,348400,0.680933069
28-05-2019,11958.34961,11958.54981,11864.90039,11928.75,598300,0.03354368
29-05-2019,11905.79981,11931.90039,11836.79981,11861.09961,318100,-0.567120537
30-05-2019,11865.29981,11968.54981,11859.40039,11945.90039,421200,0.714948738
31-05-2019,11999.79981,12039.25,11829.4502,11922.79981,438900,-0.193376684
03-06-2019,11953.75,12103.04981,11920.09961,12088.54981,315300,1.390193601
04-06-2019,12052.65039,12095.2002,12005.84961,12021.65039,289200,-0.553411411
06-06-2019,12039.79981,12039.79981,11830.25,11843.75,415200,-1.479833344
07-06-2019,11865.2002,11897.5,11769.5,11870.65039,302500,0.227127312
10-06-2019,11934.90039,11975.04981,11871.75,11922.7002,303300,0.438474745
11-06-2019,11959.84961,12000.34961,11904.34961,11965.59961,332200,0.359812906
12-06-2019,11962.4502,11962.4502,11866.34961,11906.2002,283700,-0.496418198
13-06-2019,11873.90039,11931.34961,11817.04981,11914.04981,447900,0.065928759
14-06-2019,11910.09961,11911.84961,11797.7002,11823.29981,390300,-0.76170573
17-06-2019,11844,11844.04981,11657.75,11672.15039,295500,-1.278402954
18-06-2019,11677.04981,11727.2002,11641.15039,11691.5,365500,0.165775871
19-06-2019,11744.4502,11802.5,11625.09961,11691.4502,446900,-0.000425993
20-06-2019,11653.65039,11843.5,11635.04981,11831.75,442000,1.200020551
21-06-2019,11827.59961,11827.9502,11705.09961,11724.09961,468400,-0.909843354
24-06-2019,11725.79981,11754,11670.2002,11699.65039,277600,-0.208538129
25-06-2019,11681,11814.40039,11651,11796.4502,300500,0.827373475
26-06-2019,11768.15039,11871.84961,11757.54981,11847.54981,327900,0.433177856
27-06-2019,11860.84961,11911.15039,11821.04981,11841.54981,480200,-0.050643383
28-06-2019,11861.15039,11871.7002,11775.5,11788.84961,303900,-0.445044752
01-07-2019,11839.90039,11884.65039,11830.79981,11865.59961,278400,0.651038927
02-07-2019,11890.29981,11917.4502,11814.7002,11910.29981,363200,0.37672092
03-07-2019,11932.15039,11945.2002,11887.04981,11916.75,340500,0.054156445
04-07-2019,11928.79981,11969.25,11923.65039,11946.75,333600,0.251746491
05-07-2019,11964.75,11981.75,11797.90039,11811.15039,530700,-1.135033453
08-07-2019,11770.40039,11771.90039,11523.29981,11558.59961,464000,-2.138240338
09-07-2019,11531.59961,11582.54981,11461,11555.90039,442500,-0.023352466
10-07-2019,11536.15039,11593.7002,11475.65039,11498.90039,337600,-0.493254511
11-07-2019,11561.4502,11599,11519.5,11582.90039,317300,0.730504632
12-07-2019,11601.15039,11639.54981,11538.59961,11552.5,359400,-0.262459228
15-07-2019,11614.75,11618.40039,11532.29981,11588.34961,368800,0.310319056
16-07-2019,11596.65039,11670.04981,11573.9502,11662.59961,480200,0.64072972
17-07-2019,11670.75,11706.65039,11651.15039,11687.5,464800,0.213506352
18-07-2019,11675.59961,11677.15039,11582.40039,11596.90039,498300,-0.77518382
19-07-2019,11627.9502,11640.34961,11399.29981,11419.25,446000,-1.531878218
22-07-2019,11392.84961,11398.15039,11301.25,11346.2002,516000,-0.639707555
23-07-2019,11372.25,11398.09961,11303.15039,11331.04981,500,-0.133528316
24-07-2019,11322.4502,11359.25,11230.2002,11271.29981,400800,-0.527312129
25-07-2019,11290.40039,11361.40039,11239.34961,11252.15039,537100,-0.169895348
26-07-2019,11247.4502,11307.34961,11210.59961,11284.29981,507000,0.285717955
29-07-2019,11307.5,11307.5,11152.75,11189.2002,468400,-0.842760398
30-07-2019,11213.7002,11267.09961,11072.9502,11085.40039,464700,-0.927678495
31-07-2019,11034.04981,11144.15039,10999.65039,11118,520600,0.294076965
01-08-2019,11060.2002,11076.75,10881,10980,484900,-1.241230437
02-08-2019,10930.29981,11079.79981,10849.54981,10997.34961,531000,0.158011011
05-08-2019,10895.79981,10895.79981,10782.59961,10862.59961,491400,-1.225295228
06-08-2019,10815.40039,11018,10815.40039,10948.25,502400,0.788488889
07-08-2019,10958.09961,10975.65039,10835.90039,10855.5,532000,-0.847167356
08-08-2019,10899.2002,11057.65039,10843.25,11032.4502,468000,1.63005108
09-08-2019,11087.90039,11181.29981,11063.15039,11109.65039,522000,0.699755672
13-08-2019,11139.40039,11145.90039,10901.59961,10925.84961,600,-1.654424537
14-08-2019,11003.25,11077.34961,10935.84961,11029.40039,500,0.94775954
16-08-2019,11043.65039,11068.54981,10924.29981,11047.79981,500,0.166821526
19-08-2019,11094.79981,11146.90039,11037.84961,11053.90039,400,0.055219918
20-08-2019,11047.65039,11049.84961,10986.7002,11017,400,-0.333822359
21-08-2019,11018.15039,11034.2002,10906.65039,10918.7002,600,-0.89225565
22-08-2019,10905.29981,10908.25,10718.29981,10741.34961,700,-1.624282953
23-08-2019,10699.59961,10862.54981,10637.15039,10829.34961,700,0.819263903
26-08-2019,11000.29981,11070.29981,10756.54981,11057.84961,700,2.110006679
27-08-2019,11106.54981,11141.75,11049.5,11105.34961,700,0.429559107
28-08-2019,11101.29981,11129.65039,10987.65039,11046.09961,500,-0.533526652
29-08-2019,10996.04981,11021.09961,10922.40039,10948.29981,600,-0.885378617
30-08-2019,10987.79981,11042.59961,10874.79981,11023.25,600,0.684582961
03-09-2019,10960.9502,10967.5,10772.7002,10797.90039,0,-2.044311877
04-09-2019,10790.40039,10858.75,10746.34961,10844.65039,500,0.43295454
05-09-2019,10860.9502,10920.09961,10816,10847.90039,600,0.029968693
06-09-2019,10883.79981,10957.04981,10867.4502,10946.2002,500,0.906164331
09-09-2019,10936.7002,11028.84961,10889.79981,11003.04981,400,0.519354744
11-09-2019,11028.5,11054.79981,11011.65039,11035.7002,700,0.296739455
12-09-2019,11058.29981,11081.75,10964.9502,10982.79981,600,-0.479356897
13-09-2019,10986.79981,11084.4502,10945.75,11075.90039,600,0.847694465
16-09-2019,10994.84961,11052.7002,10968.2002,11003.5,400,-0.653674992
17-09-2019,11000.09961,11000.09961,10796.5,10817.59961,500,-1.689465997
18-09-2019,10872.79981,10885.15039,10804.84961,10840.65039,500,0.213085923
19-09-2019,10845.2002,10845.2002,10670.25,10704.79981,600,-1.253159
20-09-2019,10746.79981,11381.90039,10691,11274.2002,1400,5.319112925
23-09-2019,11542.7002,11694.84961,11471.34961,11600.2002,900,2.891557666
24-09-2019,11590.7002,11655.04981,11539.2002,11588.2002,700,-0.103446491
25-09-2019,11564.84961,11564.9502,11416.09961,11440.2002,600,-1.277161229
26-09-2019,11469.84961,11610.84961,11466.34961,11571.2002,800,1.145084857
27-09-2019,11556.34961,11593.59961,11499.75,11512.40039,700,-0.508156483
30-09-2019,11491.15039,11508.25,11390.79981,11474.4502,800,-0.329646248
01-10-2019,11515.40039,11554.2002,11247.90039,11359.90039,1300,-0.998303205
03-10-2019,11322.25,11370.40039,11257.34961,11314,1000,-0.404056281
04-10-2019,11388.4502,11400.29981,11158.34961,11174.75,900,-1.23077603
07-10-2019,11196.2002,11233.84961,11112.65039,11126.40039,700,-0.432668373
09-10-2019,11152.9502,11321.59961,11090.15039,11313.29981,700,1.679783285
10-10-2019,11280.5,11293.34961,11208.54981,11234.54981,600,-0.696083383
11-10-2019,11257.7002,11362.90039,11189.40039,11305.04981,700,0.627528483
14-10-2019,11335.90039,11420.4502,11290.04981,11341.15039,600,0.319331508
15-10-2019,11360.84961,11462.34961,11342.09961,11428.29981,500,0.768435397
16-10-2019,11464.9502,11481.04981,11411.09961,11464,500,0.312384131
17-10-2019,11466.29981,11599.09961,11439.65039,11586.34961,800,1.067250602
18-10-2019,11580.29981,11684.7002,11553.15039,11661.84961,900,0.651628878
22-10-2019,11657.15039,11714.34961,11573.65039,11588.34961,900,-0.630260229
23-10-2019,11596.2002,11651.59961,11554.40039,11604.09961,700,0.135912365
24-10-2019,11661.65039,11679.59961,11534.65039,11582.59961,700,-0.185279347
25-10-2019,11646.15039,11646.90039,11490.75,11583.90039,800,0.011230484
29-10-2019,11643.9502,11809.40039,11627.34961,11786.84961,1000,#VALUE!
30-10-2019,11883.90039,11883.9502,11784.4502,11844.09961,700,0.485710787
31-10-2019,11890.4502,11945,11855.09961,11877.4502,1400,0.281579749
01-11-2019,11886.59961,11918.29981,11843.34961,11890.59961,900,0.110709065
04-11-2019,11928.90039,11989.15039,11905.34961,11941.29981,800,0.426388893
05-11-2019,11974.59961,11978.9502,11861.90039,11917.2002,600,-0.20181731
06-11-2019,11911.5,12002.90039,11850.25,11966.04981,603400,0.409908445
07-11-2019,12021.09961,12021.40039,11946.84961,12012.04981,563000,0.38442093
08-11-2019,11987.15039,12034.15039,11888.75,11908.15039,789300,-0.8649599
11-11-2019,11879.2002,11932.65039,11853.9502,11913.4502,549000,0.044505686
13-11-2019,11908.29981,11946.79981,11823.2002,11840.4502,659000,-0.612752803
14-11-2019,11858.75,11895.65039,11802.65039,11872.09961,559500,0.267299076
15-11-2019,11904.2002,11973.65039,11879.25,11895.4502,580200,0.196684553
18-11-2019,11915.15039,11946.2002,11867.59961,11884.5,514400,-0.092053641
19-11-2019,11919.4502,11958.84961,11881.75,11940.09961,613900,0.467832967
20-11-2019,12004.75,12038.59961,11966.04981,11999.09961,646700,0.494133231
21-11-2019,12025.65039,12028.2002,11956.90039,11968.40039,557700,-0.255846013
22-11-2019,11967.29981,11968.09961,11883.5,11914.40039,486800,-0.451188114
25-11-2019,11922.4502,12084.5,11919.75,12073.75,534300,1.337453869
26-11-2019,12110.2002,12132.4502,12006.34961,12037.7002,1201300,-0.298580019
27-11-2019,12068.5,12114.90039,12055.15039,12100.7002,584200,0.523355782
28-11-2019,12132.09961,12158.79981,12099.9502,12151.15039,620500,0.416919643
29-11-2019,12146.2002,12147.40039,12017.40039,12056.04981,804400,-0.78264677
02-12-2019,12137.04981,12137.15039,12023.7002,12048.2002,720900,-0.065109303
03-12-2019,12067.65039,12068.59961,11956.40039,11994.2002,605800,-0.448199724
04-12-2019,11969.9502,12054.7002,11935.29981,12043.2002,747200,0.408530783
